timestamps,TP9,AF7,AF8,TP10,Right AUX
1744258445.556,-128.906,-55.664,-262.207,-77.148,-133.301
1744258445.560,-12.207,-34.180,62.012,-48.828,-43.457
1744258445.564,47.852,-24.414,218.262,-25.391,-19.531
1744258445.568,-33.691,-36.133,-55.664,-45.410,-50.781
1744258445.572,-114.746,-45.410,-269.531,-61.523,7.812
1744258445.576,-65.430,-31.250,-22.949,-26.367,106.934
1744258445.580,31.250,-22.461,244.141,0.000,135.254
1744258445.584,-12.207,-42.480,43.457,-39.062,11.230
1744258445.588,-118.652,-57.617,-276.855,-79.102,-88.867
1744258445.591,-93.750,-47.363,-160.645,-47.363,-9.766
1744258445.595,26.855,-25.879,194.824,-6.348,170.898
1744258445.599,29.297,-23.926,159.668,-23.438,102.051
1744258445.599,29.297,-23.926,159.668,-23.438,102.051
1744258445.603,-74.219,-46.875,-209.961,-47.852,-77.637
1744258445.607,-103.516,-52.734,-230.957,-36.621,-19.043
1744258445.611,-7.812,-29.785,125.000,-9.277,83.984
1744258445.615,46.387,-22.461,195.801,-8.789,72.266
1744258445.619,-62.988,-40.039,-138.184,-41.992,-21.973
1744258445.623,-117.676,-41.016,-249.023,-42.480,-49.316
1744258445.627,-25.391,-27.832,58.105,1.465,11.230
1744258445.631,26.367,-22.461,235.840,17.578,30.762
1744258445.634,-42.480,-38.574,-22.461,-13.184,12.695
1744258445.638,-122.559,-49.805,-258.789,-54.199,-35.645
1744258445.642,-68.359,-37.598,-53.711,-47.852,-11.230
1744258445.646,32.715,-23.926,237.793,-15.625,-0.977
1744258445.650,7.812,-36.133,97.656,-28.320,-79.590
1744258445.654,-101.074,-52.246,-228.516,-60.059,-130.859
1744258445.658,-94.727,-44.434,-161.133,-55.664,-60.059
1744258445.662,26.367,-29.297,183.594,3.906,28.809
1744258445.666,24.414,-29.785,194.824,7.812,-79.590
1744258445.670,-97.656,-47.363,-152.344,-64.453,-114.746
1744258445.674,-129.395,-50.293,-231.445,-71.777,-13.672
1744258445.677,-15.625,-33.203,103.027,-17.578,49.805
1744258445.681,40.527,-30.762,213.379,-0.977,26.855
1744258445.685,-48.828,-46.387,-105.469,-31.738,-35.156
1744258445.689,-105.957,-51.758,-265.137,-64.453,60.547
1744258445.693,-24.902,-35.645,25.391,-30.762,166.016
1744258445.697,48.340,-31.250,225.586,2.930,95.703
1744258445.701,-20.508,-40.039,-7.324,-24.902,-26.855
1744258445.705,-115.234,-55.176,-281.738,-51.758,-66.895
1744258445.709,-67.383,-41.504,-113.281,-34.180,-37.109
1744258445.713,43.945,-15.625,205.078,4.395,44.434
1744258445.717,18.555,-22.461,111.816,0.488,-0.488
1744258445.720,-101.562,-47.363,-225.098,-62.988,-96.680
