timestamp,confused,control,understanding,transcript
1745712624.6500182,31,19,49,-
1745712634.4153166,12,28,58,-
1745712644.1817515,34,3,62,-
1745712654.1409345,89,8,1,-
1745712664.1001914,95,3,0,-
1745712674.2587438,96,3,0,-
1745712684.417251,99,0,0,-
1745712694.1775024,67,26,5,-
1745712704.1368368,92,6,0,-
1745712714.295394,97,2,0,-
1745712724.2548094,90,9,0,-
1745712734.214203,72,26,0,-
1745712744.1735184,94,4,0,-
1745712754.1336932,98,1,0,-
1745712764.094503,80,18,0,-
1745712774.2543,97,2,0,-
1745712784.2146869,98,1,0,-
1745712794.1749563,67,31,0,-
1745712804.1360605,95,3,1,-
1745712814.0973067,92,7,0,-
1745712824.2576303,97,1,0,-
1745712834.218517,85,14,0,-
1745712844.17912,92,6,1,-
1745712854.1396422,79,19,0,-
1745712864.1008816,99,0,0,-
1745712874.2611609,94,3,2,-
1745712884.222095,89,10,0,-
1745712894.1828825,90,8,0,-
1745712904.1434715,82,16,1,-
1745712914.1042733,81,14,3,-
1745712924.0654905,67,30,1,-
1745712934.2257376,97,2,0,-
1745712944.3858745,72,23,3,-
1745712954.1474614,85,11,3,-
1745712964.1081727,57,37,4,-
1745712974.068803,95,4,0,-
1745712984.2285433,89,1,9,-
1745712994.1889699,52,18,28,-
1745713004.1493611,86,5,7,-
1745713015.3048818,11,11,76,-
1745713025.2651348,97,1,1,-
1745713034.2293065,56,0,42,-
1745713044.1894596,93,5,0,-
1745713054.3487167,63,33,3,-
1745713064.1095927,94,4,1,-
1745713074.2688224,75,22,1,-
1745713084.2288284,85,13,0,-
1745713084.6272237,80,18,0,-
