timestamp,confused,control,understanding,transcript
1745713197.2563632,3,95,0,-
1745713207.2164025,27,71,0,-
1745713216.5788252,51,47,1,-
1745713226.5388176,21,71,6,-
1745713236.4987762,89,4,5,-
1745713246.6578865,91,6,2,-
1745713256.6179168,85,12,1,-
1745713266.5782168,79,19,1,-
1745713276.5384986,82,15,1,-
1745713286.4987426,92,3,3,-
1745713296.658142,20,51,28,-
1745713306.6183515,45,52,2,-
1745713316.5784616,21,76,1,-
1745713326.538552,46,47,6,-
1745713336.6980827,30,67,2,-
1745713346.459208,51,47,0,-
1745713356.6187115,29,69,1,-
1745713366.5789716,12,87,0,-
1745713376.5391827,9,89,0,-
1745713386.4993868,55,43,0,-
1745713396.6587467,31,66,2,-
1745713406.818093,32,66,0,-
1745713416.9774005,59,40,0,-
